#	章項節	質問	回答
1		既存の業態一覧の画面などもデザインモックにあわせて修正しますか？	はい、今回スコープに含めて改修します。既存の業態一覧・各設定画面も本デザインモック（*-settings系）に合わせてリデザインしてください。新規/運用のモード出し分けと併せて実施します。
2		従業員登録で重複の際はエラーになりますが、複数の企業に紐づけられる仕様なのでメアドの重複チェックだけで弾くと仕様に合わない（以前のタスクで先送りにした内容）	今回スコープで対応します。単純なメアド重複エラーは廃止し、§16『アカウント=メアド単位・ロール累積』モデルを実装してください。重複時はエラーにせず既存アカウントにロール（従業員/管理者）を累積付与（4パターン=§16.3）。複数企業紐付けは account に複数 company を紐付ける別軸、メアドUNIQUEは『同一企業スコープ内』で評価します。先送り分は今回で解消です。
3	3.1.2 importモード（CSV一括インポート）（推奨）	完了後（done=4）: このdoneはsessionStorageで管理ということでしょうか？モック上の概念でしょうか？	モック上の概念です。モックでは sessionStorage キー b0Done（取得は b0LoadDone() / index.html:3068）による擬似管理です。本番は §7.2 のとおり companies.onboarding_completed_at（4項目すべてに1件以上で時刻保存）で判定します。
4	3.2 setup-* 新規登録ステップ画面（4種）	「← 登録ガイドへ戻る」リンク とありますがモックでは「←初期セットアップへ戻る」になっています。どちらが正しいでしょうか？	『← 初期セットアップへ戻る』が正です。§13.2-A で『登録ガイド』→『初期セットアップ』へ名称統一済みで、モックが正。仕様書§3.2の旧名称は更新漏れのため修正しました。
5	3.2 setup-* 新規登録ステップ画面（4種）	setup-* 実装する際のルーティングのことであっていますか？	setup-* 専用ページは §15（2026-05-13）で廃止済みです（モックに page-setup-* は存在しません）。現行はB案：b0 をオーケストレーターとし、登録は *-settings 画面＋登録モーダルを再利用します。したがって /setup/* ルーティングは不要です。§3.2・§7.1 の setup-* 記述は旧仕様のため修正しました。
6	3.5 CTAモーダル（橋渡しモーダル）	モックとこちらの表の文言が異なっています。どちらに合わせればいいでしょうか？	最新実装＝モックの文言を正とします。実装はモックのラベルに準拠してください。仕様書§3.5の表は旧文言のため、モックに合わせて更新します。
7	5.2 モード判定	b0LoadDoneはb0Doneのことであっていますか？	はい。b0LoadDone() は sessionStorage キー 'b0Done' を parseInt して返すゲッター関数です（index.html:3068-3069）。§5.2 の isInitialMode = b0LoadDone() < 4 は b0Done<4 と同義です。
8	5.3 順序ガード	『done + 1 以外なら警告バナー表示 + ボタン disabled』と『N <= done なら「再編集」モードで動作』は共存できなそうですがどうでしょう？	Nの範囲で排他に適用されるため共存します。N≤done →『再編集』モード／N=done+1 → 通常登録（active）／N>done+1 → 警告バナー＋disabled。同一Nに両方は適用されません（『done+1以外なら警告』は厳密には N>done+1 を指します）。仕様書§5.3に範囲を明記しました。なお §15 で setup-* 廃止のため、本ガードは b0 側ロジックに集約されています。
9	6.UI/UX 違いの一覧	新規登録モードの時はタイムレコードの通常メニューは出さない、という認識で合っていますか？	はい。新規登録（setup mode = *-settings の done<4）はサイドバー＝『初期セットアップ＋初期登録ステップ（①〜④）』のみ。通常メニュー（打刻記録/勤務時間集計/給与/設定(運用)）は運用更新モード（*-ops-settings）で表示します（§3.3・§6）。
10	7.1 ルーティング	運用モードのルーティングが/settings/xxx になっていますが、現状は/dashboard/business-types のようになっています 各画面のルーティングも修正する認識であっていますか	はい。各画面のルーティングを /settings/brand, /settings/stores, /settings/emptypes, /settings/employees に刷新します（現状 /dashboard/* から変更）。重要: 1エンティティ=1ルートとし、done<4=新規登録(setup mode)/done>=4=運用更新(ops mode)を同一ルートで出し分けます（モックの applySetupModeOnSettings 相当のロジックを本番化）。モックが #*-settings(setup)と #*-ops-settings(ops)にハッシュを物理分離しているのはコンタミ防止のデモ目的で、本番は1ルートでモード分岐でOKです。/setup/* は setup-* 廃止に伴い不要です。
11	7.2 モード判定ロジック	「推奨: companies.onboarding_completed_atカラムを追加し、4項目すべてに1件以上の時刻を保存」 こちらは４件すべてが完了した場合に時刻を保存し、途中のstepはsessionStorageで管理（5.1 進捗状態（sessionStorage））という認識で合っていますか？	はい。本番は4項目すべて1件以上で companies.onboarding_completed_at に確定時刻を保存し、これで運用モード判定。途中の進捗（b0Done/b0Counts）はフロントの sessionStorage（モック）で管理します。※中断再開を本番でも担保する場合は途中進捗もDB保持を推奨（§7.4）。
12	7.6 招待メール送信（従業員登録）	モックの従業員一覧に「招待送信」ボタンが見当たりません	従業員一覧に『招待送信』ボタンは実在します（index.html 行1021・1441・1551）。ステータス列（招待中/有効）に応じて表示・再送制御されます（§23.18 修正2）。setup-emp 等のステップ画面には置かず、一覧画面の操作列に配置する確定仕様（§7.6 手動送信）。#emp-settings / 該当一覧画面でご確認ください。
13	9.1 2つのインポート導線	「CSV一括インポート」を選択した場合、および運用後の再更新時、別リポジトリの タイムレコード インポート機能 へ別タブで遷移」 これはtimerecord本体ではなく、モックの中ではcsvインポート部分が別リポジトリという認識で合っていますか	はい。CSVインポート画面はモック上、別リポジトリ rakmy-timerecord-import-spec として分離しています（timerecord本体ではない）。owner-mock の b0／各設定画面から別タブで import-spec の #tpl-setup / #saas-setup 等へ遷移します（§9.2・§9.3）。本番では同一プロダクト内機能として統合実装です。
14	F. URLパラメータによる方式・ステップのスキップ（重要）	運用設定画面からの起点の場合も、運用画面のCSVインポート方式を選択モーダルで方式を選択済みなのでクエリパラメータありで/importに遷移したほうがいい気がする	採用します。運用側で方式選択モーダルを先に通す動線（§23.20）のため、選択済みなら F-1 同様 ?method=&step= 付きで /import に遷移し、インポート画面側の方式選択をスキップします。方式未選択の直接アクセス時のみ方式選択画面を表示。§9.4.F-2/F-3 を改訂しました。
15	H-5. 本番実装で必要な対応	「クエリパラメータ + ハッシュ対応: applyHashRouting() のロジックを本番にも実装」 クエリパラメータで管理しつつ、ハッシュも使用する理由があれば教えていただきたいです （ここのクエリパラメータとはF. URLパラメータによる方式・ステップのスキップ（重要） の認識）	役割が直交するため併用します。クエリパラメータ（?method=&step=）＝『どの方式・どのエンティティを開くか』の起動時パラメータ（F）。ハッシュ（#saas-setup/#tpl-setup/#saas/#tpl）＝『新規登録モードか運用更新モードか（文脈バナー有無）』の画面状態切替（H）＋SPA内画面遷移。別concernなので両方使います。
16	H-5. 本番実装で必要な対応	「クエリパラメータ + ハッシュ対応: applyHashRouting() のロジックを本番にも実装」 applyHashRouting() のロジックとは何を指していますか？どこかに記載があれば教えていただきたいです。	import-spec 側の関数です（rakmy-timerecord-import-spec/index.html:5181 function applyHashRouting()）。location.hash を読み、インポート画面のモード/表示画面を切替えます（#saas-setup・#tpl-setup→新規モード＋バナー、#saas・#tpl→運用更新）。owner-mock 側には存在しません。本番は import 機能側にこのルーティングロジックを移植する意味です。
17	11.3 動作確認手順（エンジニア向け）	CSVで一括インポート（推奨）が選択済み の場合、３の動作にならない気がします（設定画面で一件ずつ登録が選択済みの場合の動作が記載されているように見える）	ご指摘のとおり §11.3 は import モード確認と manual モード確認が混在しており不整合でした。import モード時（11.3.1）／manual モード時（11.3.2）に手順を分割して修正しました。
18	16.3 ケース別の挙動(4パターン)	それぞれのメールの本文は具体的にどうしましょう、後に決定されますでしょうか	条件別のメールフォーマットモック #mail-formats を新設しました（条件→件名→CTA→PW要否→対応フォーマットを一覧化、不足していた逆方向の権限拡張通知『従業員ロールが追加されました』もインライン実装）。種別の本質は招待系（PW設定リンクあり・72h）／通知系（PWリンク無し・ログインする・付与日表記）の出し分け。実装はこの条件判定で版を選択し、本文はテンプレ差し替え可能な構造にしてください。本文の最終コピーのみCS確定（別チケット）。
19	CTAボタン共通仕様:	こちらに記載されているCTAボタンとはどのボタンこのことでしょうか（それぞれの文言のボタンが見当たらない）	§3.1.2 の b0 import パネル内『インポートガイドリスト』各StepのCTAを指します。具体は『インポート画面を開く →』『外部連携画面を開く ↗』（別タブ #saas-setup）『管理者をテンプレで取込 ↗』（別タブ #tpl-setup）。順序違反は is-locked で disabled。文言が現行モックと異なる場合はモックのラベルを正とし、仕様書§3.1.2を更新します。
