対象ページ	セクション	種別	現状（ドラフト）	修正・追記内容	理由
費用実績入力	パターン1：直接入力	追記	「各費目の実績列の入力欄に月ごとの実績金額を直接入力します」	変動費用予算の費目でも実績は自動計上されません。実際にかかった費用金額を手入力してください。	検証で変動費の実績が自動計上されない仕様を確認。顧客が「%設定したから自動で入るのでは？」と誤解する可能性あり
費用実績入力	パターン2：CSVインポート	追記	Googleスプレッドシートでの操作手順あり	【注意】数値にカンマ区切り（例: 200,000）を入れるとエラーになります。Googleスプレッドシートの場合、表示形式→数字→「書式なしテキスト」に変更してからCSVエクスポートしてください。	検証でカンマ区切りエラーを確認。実際に顧客が遭遇しやすいエラー
費用実績入力	パターン2：CSVインポート	追記	「インポート」ボタンをクリックの後	インポート完了時に「上書き更新:X件 / 新規登録:X件 / 空セルスキップ:X件」が表示されます。	検証で確認した完了メッセージの仕様
費用実績入力	パターン2：CSVインポート	追記	なし	【注意】MacでCSVテンプレートをダブルクリックすると、Numbers形式に自動変換される場合があります。Numbers形式ではインポートできません。Googleスプレッドシートで開くか、テキストエディタで編集してください。	検証でNumbers形式インポートエラーを確認
費用実績入力	パターン3：地代家賃モーダル	修正	「実績セル（入力ボックス）をクリックします」	実績セル横の編集ボタンをクリックします。	UIが編集ボタン方式に変更されている
費用実績入力	入力項目の詳細 - 予算列	追記	なし	【固定費用予算の予算列】費用設定のデフォルト数値が全月に表示されます。単月費用設定で個別調整されている月はその値が表示されます。	予算列の表示ロジックを明記
費用実績入力	入力項目の詳細 - 予算列	追記	なし	【変動費用予算の予算列】設定%×売上予算で計算された¥金額が表示されます。売上予算が未設定の月は予算値が表示されません。	変動費の予算表示ロジックを明記
費用実績入力	入力項目の詳細 - CSVインポートのみ	修正	「開始月・終了月を選択します」	開始月・終了月は費用実績入力画面（親画面）の期間設定と連動しています。親画面で期間を設定してからCSVインポートに遷移してください。	期間連動の仕様を明記
費用実績入力	設定後の確認方法	追記	「予実対比画面で月次・費目別の予実を確認します」	入力した実績は以下の画面に自動反映されます: 年間予実対比、予実対比、月次集計。対比率・構成比・固定費合計・営業利益等が再計算されます。	反映先画面の明示
費用実績入力	よくある質問	追記	「Q. CSVインポートに失敗しました」の表	「不正な数値 '200,000'」→ 数値にカンマが含まれています。カンマなし（200000）で入力してください。Googleスプレッドシートの場合、表示形式→書式なしテキストに変更してエクスポートしてください。	実際のエラーメッセージを追記
費用実績入力	よくある質問	追記	なし	Q. 変動費用予算（%設定）の費目は、実績も自動計算されますか？ A. いいえ。予算列は設定%×売上予算で自動計算されますが、実績列は自動計上されません。実際にかかった費用金額を手入力またはCSVインポートで入力してください。	顧客から質問が想定されるFAQ
費用実績入力	よくある質問	追記	なし	Q. 新しい費目を追加したら、過去月にも予算が表示されますか？ A. はい。費用設定のデフォルト値は全月に適用されます。特定月のみ変更したい場合は単月費用設定をご利用ください。	検証で確認した仕様
費用実績入力	その他	追記	なし	CSVインポートの対象は地代家賃以外の費目です。地代家賃の実績は専用モーダルから入力してください。	地代家賃がCSV対象外であることを再度明記
費用実績入力	確認事項（TODO）	更新	TODO: 「月次設定を削除」と「リセット」の仕様差分	検証済み。リセット＝入力値をデフォルト計算額に戻す（保存前の操作）。月次設定を削除＝保存済み実績データを削除。ドラフトの表記で正確。	TODOクローズ
費用実績入力	確認事項（TODO）	更新	TODO: CSVテンプレートの列仕様・ファイル名規則	列仕様: 費目名 + 月別実績列のみ（予算列なし）。ファイル名: 費用実績_YYYYMM_YYYYMM.csv。UTF-8 BOM有り。	TODOクローズ
