#,章項節,質問,回答,区分
1,,既存の業態一覧の画面などもデザインモックにあわせて修正しますか？,"【確定:はい・今回スコープ】既存の業態一覧・各設定画面も本デザインモック（*-settings系）に合わせて改修します（今回スコープに含める）。新規/運用のモード出し分けと併せて、既存一覧画面のリデザインを実施してください。",確定
2,,"従業員登録で重複の際はエラーになりますが、複数の企業に紐づけられる仕様なのでメアドの重複チェックだけで弾くと仕様に合わない（以前のタスクで先送りにした内容）","【確定・今回対応】単純なメアド重複エラーは廃止します。§16『アカウント=メアド単位・ロール累積』モデルを今回スコープで実装します。重複時はエラーにせず既存アカウントにロール（従業員/管理者）を累積付与（4パターン=§16.3）。複数企業紐付けは account に複数 company を紐付ける別軸として扱い、メアドUNIQUEは『同一企業スコープ内』で評価。先送り分は今回で解消します。",確定
3,3.1.2 importモード（CSV一括インポート）（推奨）,"完了後（done=4）:
このdoneはsessionStorageで管理ということでしょうか？モック上の概念でしょうか？","【確定】モックでは sessionStorage キー b0Done（取得は b0LoadDone()／index.html:3068）による擬似管理＝モック上の概念です。本番は §7.2 のとおり companies.onboarding_completed_at（4項目すべてに1件以上で時刻保存）で判定します。done=4 はモックの擬似値で、本番ではDBフラグに置き換わります。",確定
4,3.2 setup-* 新規登録ステップ画面（4種）,"「← 登録ガイドへ戻る」リンク
とありますがモックでは「←初期セットアップへ戻る」になっています。どちらが正しいでしょうか？","【確定】『← 初期セットアップへ戻る』が正です。§13.2-A で『登録ガイド』→『初期セットアップ』へ名称統一済み、モックも該当（index.html に4箇所）。仕様書§3.2 の『登録ガイドへ戻る』は旧名称の更新漏れです。仕様書側を修正します。",確定
5,3.2 setup-* 新規登録ステップ画面（4種）,setup-* 実装する際のルーティングのことであっていますか？,"【確定/重要】setup-* 専用ページは §15（2026-05-13）で廃止済みです（モックに page-setup-* は存在しません）。現行はB案：b0 をオーケストレーターとし、登録は *-settings 画面＋登録モーダルを再利用する方式。したがって /setup/* ルーティングは不要です。§3.2・§7.1 の setup-* 記述は旧仕様（更新漏れ）。実装は『b0＋*-settings＋モーダル』を前提にしてください。",確定
6,3.5 CTAモーダル（橋渡しモーダル）,モックとこちらの表の文言が異なっています。どちらに合わせればいいでしょうか？,"【確定・モック優先】最新実装＝モックの文言を正とします。仕様書§3.5 の表は旧文言のため、現行モックのラベルに合わせて仕様書側を更新します。実装はモックの文言に準拠してください。",確定
7,5.2 モード判定,b0LoadDoneはb0Doneのことであっていますか？,"【確定】はい。b0LoadDone() は sessionStorage キー 'b0Done' を parseInt して返すゲッター関数です（index.html:3068-3069）。値の実体が b0Done、その取得関数が b0LoadDone()。§5.2 の判定（isInitialMode = b0LoadDone() < 4）は b0Done<4 と同義です。",確定
8,5.3 順序ガード,『done + 1 以外なら警告バナー表示 + ボタン disabled』と『N <= done なら「再編集」モードで動作』は共存できなそうですがどうでしょう？,"【確定】Nの範囲で排他なので共存します。N≤done →『再編集』モード／N=done+1 → 通常登録（active）／N>done+1 → 警告バナー＋disabled。同一Nに両方は適用されません（『done+1以外なら警告』は厳密には N>done+1 を指す表現）。仕様書の文言を範囲明記に修正します。なお §15 で setup-* 廃止のため、このガードは b0 側ロジックに集約されています。",確定
9,6.UI/UX 違いの一覧 ,新規登録モードの時はタイムレコードの通常メニューは出さない、という認識で合っていますか？,"【確定】はい。新規登録（setup mode = *-settings の done<4）はサイドバー＝『初期セットアップ＋初期登録ステップ（①〜④）』のみ。通常メニュー（打刻記録/勤務時間集計/給与/設定(運用)）は運用更新モード（*-ops-settings）で表示します（§3.3・§6）。",確定
10,7.1 ルーティング,"運用モードのルーティングが/settings/xxx になっていますが、現状は/dashboard/business-types のようになっています
各画面のルーティングも修正する認識であっていますか","【確定・/settings/* に刷新】各画面のルーティングを /settings/brand, /settings/stores, /settings/emptypes, /settings/employees に刷新します（現状 /dashboard/* から変更）。重要: 1エンティティ=1ルートとし、done<4=新規登録(setup mode)/done>=4=運用更新(ops mode)を同一ルートで出し分けます（モックの applySetupModeOnSettings 相当）。モックが #*-settings(setup)と #*-ops-settings(ops)にハッシュを物理分離しているのはコンタミ防止のデモ目的で、本番は1ルートでモード分岐でOK。/setup/* は setup-* 廃止（Q5）に伴い不要です。",確定
11,7.2 モード判定ロジック,"「推奨: companies.onboarding_completed_atカラムを追加し、4項目すべてに1件以上の時刻を保存」
こちらは４件すべてが完了した場合に時刻を保存し、途中のstepはsessionStorageで管理（5.1 進捗状態（sessionStorage））という認識で合っていますか？","【確定】はい。本番：4項目すべて1件以上で companies.onboarding_completed_at に確定時刻を保存し、これで運用モード判定。途中の進捗（b0Done/b0Counts）はフロントの sessionStorage（モック）で管理します。※中断再開を本番でも担保する場合は途中進捗もDB保持を推奨（§7.4）。",確定
12,7.6 招待メール送信（従業員登録）,モックの従業員一覧に「招待送信」ボタンが見当たりません,"【確定/反証】従業員一覧に『招待送信』ボタンは実在します（index.html 行1021・1441・1551）。ステータス列（招待中/有効）に応じて表示・再送制御されます（§23.18 修正2）。setup-emp 等のステップ画面には置かず、一覧画面の操作列に配置する確定仕様（§7.6 手動送信）。見当たらない場合は #emp-settings / 該当一覧画面でご確認ください（具体ハッシュは別途案内）。",確定
