機能カテゴリ	機能名	概要	操作方法	注意事項・制約
【1. 費用実績入力画面】
1. 費用実績入力	画面概要	費用設定で登録した費目の月別予算・実績を表示し、実績を入力・管理する画面	サイドバー > 費用設定 > 費用実績入力	開始月・終了月を選択して「表示」で期間を切り替え
1. 費用実績入力	費目表示	費用設定に登録した全費目が行として表示される	費用設定で費目を追加/削除すると費用実績入力にも自動連動	地代家賃は専用設定から連動。費用設定で削除すると「過去全ての集計結果からも削除」される
1. 費用実績入力	予算値表示（固定費）	費用設定のデフォルト数値が予算列に¥表示	費用設定でデフォルト値を変更すると全月の予算列に反映	単月費用設定で月別に個別調整も可能
1. 費用実績入力	予算値表示（変動費）	費用設定の%設定が売上予算と演算され¥表示	変動費用予算（例: 4%）は売上予算×設定%で予算額を自動計算	売上予算が未設定の月は表示されない場合あり
1. 費用実績入力	実績値入力（手動）	各費目の実績欄に金額を手入力し「保存」ボタンで保存	実績欄に数値を入力→「保存」をクリック	実績値は手入力またはCSVインポートのみ。自動計上はされない
1. 費用実績入力	実績値入力（過去月）	新規追加した費目でも過去月の実績入力が可能	過去月の実績欄に値を入力→「保存」	過去月の実績は空欄で表示。手入力またはCSVインポートで入力
1. 費用実績入力	各画面への反映	入力した実績値は年間予実対比・予実対比・月次集計に自動反映	保存後、各画面を開くと反映済み	対比率・構成比・固定費合計・営業利益等が実績値に基づき再計算
【2. 地代家賃実績設定】
2. 地代家賃実績設定	画面概要	地代家賃の実績値を月別に設定するモーダル。費用実績入力画面から開く	費用実績入力画面の地代家賃実績セル横の編集ボタンをクリック	地代家賃は他費目と異なりCSVインポートでは入力不可。モーダル専用
2. 地代家賃実績設定	モーダル表示	該当月のモーダルが開き、デフォルト計算額と入力欄が表示される	各月の実績セル横の編集ボタンをクリック	月ラベルはテキスト表示。クリックした月のモーダルが直接開く
2. 地代家賃実績設定	デフォルト計算額	地代家賃設定（賃料パターン・歩合率等）から自動算出された予算額が表示	参照のみ（編集不可）	売上実績がない場合は最低保証額が表示
2. 地代家賃実績設定	実績値入力	「この月の地代家賃」欄に実績額を入力し「保存する」で保存	金額を入力→「保存する」	実績のみ変更され、予算値は変わらない
2. 地代家賃実績設定	リセット	「リセット」ボタンでデフォルト計算額に戻せる	「リセット」→「保存する」	デフォルト計算額に戻る
2. 地代家賃実績設定	キャンセル	「キャンセル」ボタンで変更を破棄してモーダルを閉じる	「キャンセル」をクリック	変更前の値が保持される
2. 地代家賃実績設定	計算条件詳細	「デフォルト値の計算条件詳細」で賃料パターン・歩合率等を確認できる	折りたたみをクリックして展開	参照のみ
2. 地代家賃実績設定	各画面への反映	変更した実績値は年間予実対比・予実対比・月次集計に反映。対比率等も再計算	保存後、各画面を開くと反映済み	予算値は地代家賃設定の計算額のまま
【3. CSVインポート】
3. CSVインポート	画面概要	費用実績をCSVファイルで一括インポートする機能	費用実績入力画面の「CSVインポート」ボタンをクリック	2ステップ構成（1.テンプレートDL → 2.CSVアップロード）
3. CSVインポート	期間連動	CSVインポート画面の開始月・終了月は親画面（費用実績入力）の設定と連動	費用実績入力で期間設定後に「CSVインポート」をクリック	親画面の期間設定を先に行ってからCSVインポートへ遷移
3. CSVインポート	テンプレートDL	費用設定の登録費目が行として出力された空テンプレートをダウンロード	Step1で「CSVダウンロード」ボタンをクリック	データは空の状態でDL。地代家賃は含まれない（モーダル専用）
3. CSVインポート	ファイル形式	出力形式はUTF-8 BOM有りCSV	テキストエディタまたはGoogleスプレッドシートで編集	数値にカンマ区切り（200,000）を入れるとエラーになる。カンマなし（200000）で入力
3. CSVインポート	インポート実行	編集済みCSVをアップロードしてインポート	Step2でCSVファイルをドラッグ&ドロップ→「インポート」	完了時に「上書き更新:X件/新規登録:X件/空セルスキップ:X件」が表示
3. CSVインポート	上書き動作	既に実績値がある月にインポートした場合、確認なしで上書き	-	空セルは既存値を保持（スキップ）。値があるセルのみ上書き
3. CSVインポート	エラー時	不正ファイルやフォーマットエラー時にエラーメッセージ表示	-	Numbers形式は非対応。数値にカンマが含まれると「不正な数値」エラー
【4. 費用設定】
4. 費用設定	画面概要	費用実績入力の前提となる費目の登録・編集・削除を行う画面	サイドバー > 費用設定	費用設定の変更は費用実績入力・各集計画面に連動
4. 費用設定	新規費目追加	「+ 費目の追加」で費目名・設定タイプ・デフォルト数値を登録	費目名入力→設定タイプ選択→デフォルト数値入力→「登録」	固定費用予算: ¥金額入力。変動費用予算: %入力
4. 費用設定	費目編集	「編集」ボタンで費目名・設定タイプ・デフォルト数値を変更	「編集」→値を変更→「保存する」	デフォルト値は全月の予算に反映
4. 費用設定	費目削除	「削除」ボタンで費目を削除	「削除」→確認ダイアログで「OK」	「過去全ての集計結果からも削除」の確認あり
4. 費用設定	地代家賃	地代家賃は費用設定では編集不可（タイプ「-」表示）	地代家賃の設定は地代家賃設定画面から行う	費用設定一覧には表示されるが設定値は地代家賃設定から自動連動
【5. 単月費用設定】
5. 単月費用設定	画面概要	特定月の費用予算をデフォルト値から変更する機能	月次予算設定画面の「単月費用設定」ボタンからモーダルを開く	該当月のみに適用。他月には影響しない
5. 単月費用設定	費目選択	費用設定に登録済みの全費目がプルダウンに表示される	費目プルダウンから選択	地代家賃は別枠で「地代家賃を設定する」ボタンから専用画面へ
5. 単月費用設定	デフォルト値表示	費用設定のデフォルト値が参照表示される	参照のみ	変更前の値を確認できる
5. 単月費用設定	予算値変更（固定費）	金額欄に変更後の値を入力し「保存する」で保存	金額を入力→「保存する」	費用実績入力・年間予実対比・予実対比・月次集計に連動
5. 単月費用設定	予算値変更（変動費）	対売上比%を変更し「保存する」で保存	%を入力→「保存する」	変動費用予算の合計%が変更され、売上予算が再計算される
【6. 既知の制約・注意事項】
6. 制約	CSVテンプレートのNumbers変換	MacでCSVテンプレートをDLするとNumbers形式に自動変換される場合がある	Googleスプレッドシートで開き「カンマ区切り形式(.csv)」でエクスポート	数値のセル書式を「書式なしテキスト」にしてからエクスポートすること
6. 制約	CSVの数値入力	CSVの数値にカンマ区切り（200,000）を入れるとインポートエラーになる	数値はカンマなし（200000）で入力	Googleスプレッドシートの書式を「書式なしテキスト」に変更
6. 改善要望	表示月の年間予実対比連動	費用実績入力の開始月・終了月と年間予実対比の表示期間が連動していない	-	今後の改善予定
