段階	検証ID	検証内容	操作・前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
P0_前提	P-001	検証環境	https://rakmytimerecord-631u1nnfv-rakmy-5586fb29.vercel.app/dashboard/administrators (Vercel Staging 2026-05-13)	Staging環境(本番rakmy/rakmy_serverには絶対タッチしない)、Vercel SSOチームログインで保護	-	-	memory制約: rakmy/rakmy_serverは本番、絶対タッチ禁止			memory: feedback_rakmy_server.md
P0_前提	P-002	認証基盤	-	Clerk Sandboxテナント(本番Clerkとは別インスタンス)	-	-	Clerk JWT検証、PW最小長8文字			requirements.md sec6.1
P0_前提	P-003	検証スコープ	-	管理者登録仕様(追加分)に限定。b0初期セットアップ/setup-*/設定画面/CSVインポート/STEP5/E2E全動線は別TSVで後追い	-	-	近日リリース: 管理者登録仕様→検証→リリース→インポート機能→セルフ登録機能の順			ユーザー指示2026-05-13
P0_前提	P-004	対象メアド	-	未登録メアド(検証用Gmailエイリアス推奨)	-	-	メアド衝突回避			SS分類: SS-N-*
P0_前提	P-005	前提アカウント	-	テスト用オーナー1名、既存有効従業員5名以上(担当店舗バリエーション)、既存招待中従業員1名、既存管理者2名(削除可)	-	-	「従業員から選択」タブ・重複検知・昇格動線で必要			§16/§17
P0_前提	P-006	モック参照URL	-	https://suguru789987.github.io/rakmy-owner-registration-mock/#d2 (実装エンジニアと差分突合用)	-	-	エンジニアUIと仕様モックの両方を比較確認			仕様書 §2
P0_前提	P-007	不具合判定	-	OK/NG/IMP(改善要望)/HS(ヒアリング待ち)/FIX(要修正)/保留	-	-	rent-registration検証で確立した分類を踏襲			memory: project_rent_verification.md
P0_前提	P-008	検証実施方法	案C: PdMがブラウザで直接検証	Vercel SSOログイン経由、結果は「実際の値」「判定」列に手動入力	-	-	-			-
P0_前提	P-009	認証情報	-	認証情報はTSVに記載しない、Vercel/Clerk管理画面側で管理	-	-	漏洩防止			-
P0_B	SS-N-B-01	管理者一覧表示(D-1)	オーナーで /dashboard/administrators を開く	D-1画面、自分(オーナー)行+登録済管理者行、PW操作列なし、自分行は編集/削除ボタン非表示(「(自分)」表示)	d1_admins.png	D-1 (#d1)	v5 overview誤記「PW操作列あり」(整合性問題#4)、実テーブルは「なし」が正			requirements.md sec8.2 / 整合性問題#4
P0_B	SS-N-B-02	D-1「+ 管理者を登録」ボタン	D-1の「+ 管理者を登録」ボタンクリック	D-2モーダルがオーバーレイで表示、ヘッダー「管理者を登録」、初期タブは「新規登録」(act)	d2_open.png	D-1→D-2	go('d2') 経由、d2SwitchTab('new')で初期化	モーダル展開OK、ヘッダー「管理者を登録」OK、初期タブ「新規登録」OK	OK	§7テスト観点 / index.html L2168
P0_B	SS-N-B-05	管理者編集(担当店舗付け替え)	D-1の管理者→「編集」→ 担当店舗を変更→「保存」	manager_storesレコード更新(差分のみ)、200 OK、D-1に戻る、編集モーダル(D-1E)はタブなし、メールreadonly	d1e_edit.png	D-1E (#d1e)	D-1E はタブなしで継続(仕様書§7 確定済み事項)	D-1Eモーダル: 名前編集可/メールreadonly(「メールアドレスは変更できません」明示)/担当店舗編集可/💡PWリセット案内/[キャンセル][保存]2ボタン	OK	仕様書§7 / 担当店舗変更の保存動作は別途実施
P0_B	SS-N-B-05b	管理者編集 メールreadonly	D-1Eでメール欄をクリック	編集不可、ヒント「メールアドレスは変更できません」表示	d1e_email_ro.png	D-1E	衝突回避モデル(1メアド=1アカウント)との整合	readonly表示+明示メッセージあり	OK	仕様書§16.2 / 整合性OK
P0_B	SS-N-B-06	管理者削除→Clerk連動	D-1の管理者→「削除」→ 確認ダイアログOK	users削除、manager_stores連動削除、Clerk DELETE /v1/users/{id}実行、確認文言「○○を削除しますか?この操作は取り消せません。」、削除ボタンが赤文字#c62828	d1_delete.png	D-1	**重要**: 仕様書§7「管理者削除しても従業員レコードは残す」(衝突回避モデルで従業員ロールが残る)			§7 / §16.2 ロール累積モデル
P0_B	SS-N-B-07	自分自身の削除不可	オーナー自身を「削除」しようとする	UI上削除ボタン非表示(「(自分)」表示) + API側で403	-	D-1	v5 L884相当			requirements.md sec4.2 L394
P0_B	SS-N-B-08	担当店舗未選択での登録(両タブ共通)	D-2 新規登録/従業員から選択 で 担当店舗 1つもチェックせず「登録 & 招待送信」	422エラー、バリデーションメッセージ「担当店舗を1つ以上選択してください」	d2_no_store.png	D-2	担当店舗は両タブ必須、req=✳明示			requirements.md sec4.2 L357
P0_B2	SS-N-B2-01	D-2 タブUI 構造	D-2モーダルを開く	タイトル「管理者を登録」直下にセグメント型タブ2つ(左:新規登録 / 右:従業員から選択)、選択中タブは背景白+緑文字(#1a9e7e)+微シャドウ、非選択タブはグレー文字(#888)	d2_tabs.png	D-2	仕様書§3.1 / §4.1 / CSSは .mtabs/.mtab/.mtab.act	2タブ表示OK、ただし選択中タブが「背景白+緑文字」ではなく「背景緑+白文字」(モックと配色逆)	IMP	仕様書§3.1 - 配色仕様と差異
P0_B2	SS-N-B2-02	D-2 タブ切替動作	D-2で「従業員から選択」タブをクリック	タブのact状態が右側に移動、左パネル(#d2-panel-new)が非表示、右パネル(#d2-panel-emp)が表示	d2_switch_emp.png	D-2	d2SwitchTab('emp')発火、mtab-panel.actクラス制御	新規登録↔従業員から選択 双方向で切替成功、act状態移動・パネル切替OK	OK	仕様書§4.1 / index.html L3023
P0_B2	SS-N-B2-03	D-2 タブ往復で入力値保持	「新規登録」タブで名前/メール入力→「従業員から選択」へ切替→再度「新規登録」へ戻る	先に入力した名前/メールが保持されている(クリアされない)	d2_keep.png	D-2	仕様書§4.1「タブ往復で値が保持」			仕様書 §4.1
P0_B2	SS-N-B2-04	D-2 モーダル開き直しで初期化	D-2を「従業員から選択」タブで開いた状態 → ✕で閉じる → D-1で再度「+ 管理者を登録」	初期タブは「新規登録」にリセット(タブ位置を覚えていない)	d2_reset.png	D-2	go('d2')で d2SwitchTab('new')呼び出し			仕様書§4.1 / index.html L2168
P0_B2	SS-N-B2-05	D-2「新規登録」タブ フィールド	新規登録タブで表示確認	名前(text) / メールアドレス(email) / 初期パスワード / 初期パスワード(確認) / 担当店舗(checkbox複数)。**初期パスワード方式(口頭共有)を採用、招待メール送信機能はリリース対象外**	d2_new_fields.png	D-2	2026-05-13 PdM決定: 新規登録タブは招待メール送信機能なしでOK、初期PW方式で完結	名前/メール/初期PW/初期PW(確認)/担当店舗 が表示	OK	2026-05-13 PdM決定により仕様確定
P0_B2	SS-N-B2-06	D-2「新規登録」タブ 担当店舗	担当店舗にチェックを入れずに「登録 & 招待送信」	422エラー			D-2	-			仕様書§3.2 必須3項目
P0_B2	SS-N-B2-07	D-2「新規登録」インフォメーション表示	新規登録タブ上部	「💡 従業員台帳には登録されていない方を、管理者として直接追加します。登録後、初期パスワードはオーナーが管理者へ口頭/チャット等で共有してください。」	d2_new_info.png	D-2	初期PW方式に整合する案内文の有無	上部案内なし、下部「⚠ 管理者は担当店舗の…」警告のみ。PW入力欄付近に「8文字以上・強度「強い」以上が必要…登録後、管理者に口頭やチャット等で共有」ヒントあり	IMP	案内位置・要素は機能的に充足、上部💡案内追加でUX向上余地
P0_B2	SS-N-B2-08	D-2「新規登録」重複検知(従業員台帳)	新規登録タブで既存従業員のメアドを入力→「登録 & 招待送信」	エラー「既に従業員として登録されています。『従業員から選択』タブで管理者に昇格してください」	d2_new_dup.png	D-2	仕様書§16.4.2 重要なバリデーション			仕様書§16.4.2
P0_B2	SS-N-B2-09	D-2「新規登録」重複検知(既存管理者)	新規登録タブで既存管理者のメアドを入力	422エラー「同一会社内で既に使用されています」	d2_new_dup_admin.png	D-2	requirements.md sec4.2 L353			requirements.md sec4.2
P0_B3	SS-N-B3-01	D-2「従業員から選択」タブ フィールド	従業員から選択タブで表示確認	必須フィールド: 従業員を選択(select) / 担当店舗(checkbox複数)。表示: メールアドレス(readonly自動入力) / 選択サマリ(名前/雇用区分/所属店舗)	d2_emp_fields.png	D-2	仕様書§3.3	プルダウン「昇格する従業員」(仕様: 「従業員を選択」)、サマリは [メール / 雇用区分 / 従業員コード] (仕様: [名前/雇用区分/所属店舗])、メールreadonly独立欄なし、所属店舗表示なし	IMP	仕様書§3.3 - ラベル/サマリ項目要整合
P0_B3	SS-N-B3-02	従業員プルダウン未選択時	従業員から選択タブの初期表示	プルダウン値は「-- 従業員を選択してください --」、サマリ(#d2-emp-summary)非表示、メール欄空、担当店舗チェックすべてOFF	d2_emp_unsel.png	D-2	仕様書§4.2			仕様書 §4.2
P0_B3	SS-N-B3-03	従業員プルダウンの表示形式	プルダウンを開く	各option表示文字列が「氏名（雇用区分 / 所属店舗）」形式	d2_emp_options.png	D-2	仕様書§5.1 / index.html L1827-1832			仕様書 §5.1
P0_B3	SS-N-B3-04	従業員選択 → 自動連動	従業員を1人選択(例: にしかた)	(1)サマリ表示(名前=にしかた / 雇用区分=業務委託 / 所属店舗=池袋店) (2)メール自動入力(readonly: manager01@example.com) (3)担当店舗で「池袋店」のみ初期チェックON	d2_emp_select.png	D-2	d2OnEmpSelect() 発火、仕様書§4.2	shun4選択でサマリ(メール/雇用区分/従業員コード)表示OK、担当店舗「アリランロードサイド」が初期チェックONされた。仕様の「所属店舗を初期チェック」動作は機能している(項目構成はB3-01の通り差分あり)	OK(部分)	動作は仕様通り、表示項目はB3-01参照
P0_B3	SS-N-B3-04b	従業員サマリの「所属店舗」表示	従業員選択時のサマリ	所属店舗が文字列で表示される(担当店舗チェックの根拠提示)	-	D-2	仕様書§3.3「選択サマリ: 名前/雇用区分/所属店舗」	所属店舗の表示なし、代わりに従業員コードが表示	IMP	仕様書§3.3
P0_B3	SS-N-B3-05	メールアドレス欄 readonly	従業員選択後にメール欄をクリック	編集不可(cursor:not-allowed)、背景#f8f9fa(ro-input class)	d2_emp_email_ro.png	D-2	仕様書§3.3「readonly固定」			仕様書 §3.3 / 確定済み事項
P0_B3	SS-N-B3-06	担当店舗の追加チェック可能	従業員選択後、所属店舗以外(例: 渋谷店)も追加チェック	チェック可能、複数店舗を担当店舗として登録可	d2_emp_multi.png	D-2	仕様書§3.3「必要に応じ追加可」、確定済み事項「所属外店舗も担当店舗に追加可」			仕様書§3.3 / 確定済み事項
P0_B3	SS-N-B3-07	従業員プルダウン未選択に戻す	選択あり状態でプルダウンを「-- 従業員を選択してください --」に戻す	サマリ非表示、メールクリア、担当店舗チェック全解除	d2_emp_clear.png	D-2	仕様書§4.2「未選択(空value)の場合」			仕様書§4.2
P0_B3	SS-N-B3-08	管理者登録済従業員はプルダウンに含まれない	既に管理者として登録済の従業員Aがいる状態でD-2「従業員から選択」を開く	プルダウンにAが表示されない	d2_emp_filter.png	D-2	仕様書§7 確定済み事項「管理者登録済みの従業員はプルダウンから除外」			仕様書 §7
P0_B3	SS-N-B3-09	招待中従業員も選択可	招待中(status=pending)の従業員がプルダウンに含まれる	プルダウンに表示され、選択して管理者登録可能	d2_emp_pending.png	D-2	仕様書§7 確定済み事項「招待中従業員も管理者登録可」			仕様書 §7
P0_B3	SS-N-B3-10	雇用区分問わず昇格可	代表取締役/バイトさん/業務委託 のいずれの従業員も管理者に昇格できる	どの雇用区分でも管理者登録成功	-	D-2	仕様書§7 確定済み事項「権限制限なし: 雇用区分問わず管理者登録可」			仕様書 §7
P0_B3	SS-N-B3-11	従業員選択時の管理者登録(昇格)	従業員選択→「従業員を昇格」	(1)既存usersレコードに role追加(管理者ロール累積) (2)新規Clerkユーザー作成しない(既存clerk_user_id継続) (3)PW再設定不要 (4)D-4昇格通知メール送信	d2_promote.png	D-2/DB/メール	衝突回避モデル§16.4.2「管理者として登録(昇格通知のみ)」	UI側OK、shun4→管理者として登録成功	OK(UI)	DB側(employeeロール残存・clerk_user_id継続)とD-4メール送信は別検証要
P0_BTN	SS-N-BTN-01	D-2 ボタン構成	D-2モーダル下部のボタン群	新規登録タブ: 2ボタン[キャンセル][管理者を登録]、従業員から選択タブ: 2ボタン[キャンセル][従業員を昇格]	d2_buttons.png	D-2	2026-05-13 PdM決定により2ボタン構成で確定(3ボタンは廃案)	2ボタン構成OK	OK	2026-05-13 PdM決定により仕様確定
P0_BTN	SS-N-BTN-02	(削除)「登録のみ」ボタン(新規登録タブ)	-	2026-05-13仕様変更により対象外(招待メール送信機能なしのため不要)	-	-	-	-	N/A	2026-05-13 PdM決定により削除
P0_BTN	SS-N-BTN-03	「管理者を登録」ボタン(新規登録タブ)	新規登録タブで全入力→「管理者を登録」	(1)アカウント作成+管理者ロール付与 (2)初期PWはオーナーが口頭/チャットで共有 (3)D-1へ戻り一覧に追加された管理者が表示	d2_register_new.png	D-2→D-1	2026-05-13 PdM決定: 招待メール送信機能なし、初期PW方式で完結	SHIN(suguru789engross++@yahoo.co.jp/アリランロードサイド)を新規登録タブから作成成功、D-1の管理者一覧に3行目として表示	OK	2026-05-13 PdM決定により仕様確定
P0_BTN	SS-N-BTN-04	(削除)「登録のみ」ボタン(従業員から選択タブ)	-	2026-05-13仕様変更により対象外	-	-	-	-	N/A	2026-05-13 PdM決定により削除
P0_BTN	SS-N-BTN-05	「従業員を昇格」ボタン(従業員から選択タブ)	従業員から選択タブで選択→「従業員を昇格」	(1)既存アカウントに管理者ロール追加(新規アカウント作成なし) (2)D-1へ戻り一覧に表示 (3)D-4昇格通知メール送信(PW再設定不要の明記必須)	d2_promote.png	D-2→D-1	2026-05-13 PdM決定: 1ボタンに集約、D-4送信あり	shun4昇格成功、トースト「管理者を登録しました/選択した従業員を管理者に昇格しました」表示、D-1にshun4(管理者/アリランロードサイド)行追加	OK(UI)	D-4メール受信とDB側ロール残存は別検証要
P0_BTN	SS-N-BTN-06	「キャンセル」ボタン	D-2で何かしら入力後→「キャンセル」	入力破棄、D-1へ戻る(モーダル閉じる)、新規アカウント作成・メール送信なし	-	D-2	仕様書§4.3			仕様書 §4.3
P0_BTN	SS-N-BTN-07	「✕」ボタン	D-2で何かしら入力後→ヘッダー「✕」	キャンセルと同等の挙動	-	D-2	仕様書§4.3			仕様書 §4.3
P0_MAIL2	SS-N-MAIL2-01	(削除)D-3 新規パターン招待メール 件名/送信元	-	2026-05-13仕様変更により対象外(招待メール送信機能なしのため)	-	-	-	-	N/A	2026-05-13 PdM決定により削除
P0_MAIL2	SS-N-MAIL2-02	(削除)D-3 本文要素	-	2026-05-13仕様変更により対象外	-	-	-	-	N/A	2026-05-13 PdM決定により削除
P0_MAIL2	SS-N-MAIL2-03	(削除)D-3 PW設定リンク	-	2026-05-13仕様変更により対象外	-	-	-	-	N/A	2026-05-13 PdM決定により削除
P0_MAIL2	SS-N-MAIL2-04	(削除)D-3 有効期限72時間	-	2026-05-13仕様変更により対象外	-	-	-	-	N/A	2026-05-13 PdM決定により削除
P0_MAIL2	SS-N-MAIL2-05	D-4 昇格パターン通知メール 件名/送信元	BTN-05実行後(従業員を昇格)	件名「【ラクミー タイムレコード】管理者権限が付与されました」、From: noreply@timerecord.rakmy.jp	mail_d4_hdr.png	(メール)	2026-05-13 PdM決定: 昇格通知メール送信あり			仕様書§9.2 / 2026-05-13 PdM決定
